Position,Const,Created,Modified,Description,Name,Known For,Birth Date
2002,nm0643940,2012-08-12,2012-08-12,6 points,Hilmar Oddsson,Kaldaljós,
2003,nm0099592,2014-01-06,2014-01-06,6 points,Roy Boulting,Seven Days to Noon,1913-12-21
2004,nm0745603,2012-08-04,2012-08-04,6 points,Jacques Rouffio,Le sucre,1928-08-14
2005,nm0773418,2012-08-19,2012-08-19,6 points,Eric-Emmanuel Schmitt,Temps de chien,1960-03-28
2006,nm1325852,2012-08-12,2012-09-01,6 points,Greg Zglinski,Wymyk,1968-04-08
2007,nm0767289,2012-08-12,2012-08-12,6 points,Dominic Savage,I Am...,1962-11-23
2008,nm0917751,2013-10-05,2013-10-05,6 points,Alfred Weidenmann,Canaris,1916-05-10
2009,nm0547446,2013-12-15,2013-12-15,6 points,Edwin L. Marin,Invisible Agent,1899-02-21
2010,nm0267064,2012-07-29,2012-07-29,6 points,Claude Faraldo,Themroc,1936-03-23
2011,nm0789496,2012-08-18,2012-08-18,6 points,Dror Shaul,Adama Meshuga'at,1967-06-28
2012,nm0315117,2012-08-26,2013-11-17,6 points,Matti Geschonneck,Das Ende einer Nacht,1952-05-08
2013,nm0281538,2017-06-24,2017-06-24,6 points,Peter Fleischmann,"Es ist nicht leicht, ein Gott zu sein",1937-07-26
2014,nm1572674,2013-01-04,2013-01-04,6 points,Bartosz Konopka,Lek wysokosci,1972-09-08
2015,nm0702429,2012-07-29,2012-07-29,6 points,Etienne Périer,Bridge to the Sun,1931-12-11
2016,nm0196797,2012-08-12,2012-08-12,6 points,Josée Dayan,Le Comte de Monte Cristo,1943-10-06
2017,nm0953686,2012-08-12,2012-08-12,6 points,Ryszard Zatorski,Nikt nie jest winien,1955-02-11
2018,nm0233585,2012-08-05,2012-08-05,6 points,Jacques Dorfmann,Shadow of the Wolf,1945-12-02
2019,nm0379775,2012-08-19,2012-08-19,6 points,Måns Herngren,Adam & Eva,1965-04-20
2020,nm0334353,2013-01-13,2013-01-13,6 points,William A. Graham,Return to the Blue Lagoon,1926-05-15
2021,nm0718467,2014-12-21,2014-12-21,6 points,Allen Reisner,The Twilight Zone,1924-02-12
2022,nm0154464,2012-12-24,2012-12-24,6 points,Antonio Chavarrías,Volverás,
2023,nm0801717,2017-08-26,2017-08-26,6 points,Robert B. Sinclair,The Detectives,1905-05-24
2024,nm0417541,2012-08-11,2012-08-11,6 points,Jang Sun-woo,Gojitmal,1952-03-20
2025,nm0958561,2013-02-22,2013-02-22,6 points,Xawery Zulawski,Apokawixa,1971-12-22
2026,nm0099521,2017-01-15,2017-01-15,6 points,Bouli Lanners,Les géants,1965-05-20
2027,nm1098886,2015-10-19,2015-10-19,6 points,Stanislaw Mucha,Absolut Warhola,1970-05-03
2028,nm0637176,2016-04-16,2016-04-16,6 points,Oleg Novkovic,Sutra ujutru,1968-03-28
2029,nm0691283,2016-04-02,2016-04-02,6 points,Leo C. Popkin,The Well,1914-01-01
2030,nm0074163,2016-12-01,2016-12-01,6 points,Edward Berger,Im Westen nichts Neues,
2031,nm0509033,2012-08-19,2012-08-19,6 points,Mitchell Lichtenstein,Teeth,1956-03-10
2032,nm1738978,2017-09-03,2017-09-03,6 points,Anna Novion,Rendez-vous à Kiruna,
2033,nm0000104,2012-08-18,2012-08-18,6 points,Antonio Banderas,The Mask of Zorro,1960-08-10
2034,nm0343094,2016-05-28,2016-05-28,6 points,Esther Gronenborn,Alaska.de,
2035,nm3401991,2016-01-20,2016-01-20,6 points,Jakob Lass,Love Steaks,
2036,nm0596410,2014-11-20,2014-11-20,5 points,Gustaf Molander,En stilla flirt,1888-11-18
2037,nm0173213,2016-04-05,2016-04-05,5 points,Henri Colpi,Une aussi longue absence,1921-07-15
2038,nm0733790,2017-01-16,2017-01-16,5 points,Glauber Rocha,Terra em Transe,1939-03-14
2039,nm0326448,2017-07-16,2017-07-16,5 points,Ebrahim Golestan,Khesht va Ayeneh,1922-10-19
2040,nm0344927,2016-06-19,2016-06-19,5 points,Jean Grémillon,Pattes blanches,1898-03-04
2041,nm0594892,2012-08-04,2012-08-04,5 points,Ariane Mnouchkine,Molière,1939-03-03
2042,nm0346087,2012-08-04,2012-08-04,5 points,Ruy Guerra,Estorvo,1931-08-22
2043,nm0314351,2016-10-23,2016-10-23,5 points,Marion Gering,Sarumba,1901-06-09
2044,nm0731596,2012-07-26,2012-07-26,5 points,Stephen Roberts,Romance in Manhattan,1895-11-23
2045,nm1212903,2012-12-24,2012-12-24,5 points,Benedek Fliegauf,Womb,1974-08-15
2046,nm0145336,2014-01-27,2014-01-27,5 points,William Castle,House on Haunted Hill,1914-04-24
2047,nm0006737,2012-08-05,2012-08-05,5 points,Hark Bohm,Aus dem Nichts,1939-05-18
2048,nm0895844,2017-01-30,2017-01-30,5 points,Marco Vicario,7 uomini d'oro,1925-09-20
2049,nm0349654,2012-08-11,2012-08-11,5 points,Michael Gutmann,Nur für eine Nacht,1956-06-20
2050,nm0885554,2012-08-05,2012-08-05,5 points,Robert van Ackeren,Harlis,1946-12-22
2051,nm0342417,2013-11-11,2013-11-11,5 points,Nick Grinde,Ladies Crave Excitement,1893-01-12
2052,nm0398575,2012-08-19,2012-08-19,5 points,Jan Hrebejk,Musíme si pomáhat,1967-06-27
2053,nm0683857,2015-02-20,2015-02-20,5 points,Pierre Pinaud,Les miettes,
2054,nm0594158,2012-08-06,2012-08-06,5 points,Frédéric Mitterrand,Lettres d'amour en Somalie,1947-08-21
2055,nm0697660,2016-08-30,2016-08-30,5 points,Harold Prince,West Side Story,1928-01-30
2056,nm0935164,2012-08-18,2012-08-18,5 points,Adolf Winkelmann,Die Abfahrer,1946-04-10
2057,nm0882445,2012-08-12,2012-08-12,5 points,Yesim Ustaoglu,Tereddüt,1960-11-18
2058,nm0000859,2014-11-10,2014-11-10,5 points,Lionel Barrymore,You Can't Take It with You,1878-04-28
2059,nm0474539,2014-12-09,2014-12-09,5 points,Buzz Kulik,To Find a Man,1922-07-23
2060,nm0432846,2014-11-24,2014-11-24,5 points,Nathan Juran,The 7th Voyage of Sinbad,1907-09-01
2061,nm0000048,2012-07-27,2012-07-27,5 points,Peter Lorre,M - Eine Stadt sucht einen Mörder,1904-06-26
2062,nm0272059,2014-06-09,2014-06-09,5 points,Leslie Fenton,The House of Secrets,1902-03-12
2063,nm0319574,2014-06-28,2014-06-28,5 points,Stuart Gilmore,The Andromeda Strain,1909-03-08
2064,nm1773579,2012-08-12,2012-08-12,5 points,Thomas Durchschlag,Allein,
2065,nm0116753,2012-08-04,2012-08-04,5 points,Alf Brustellin,Der Mädchenkrieg,1940-07-27
2066,nm0316830,2012-08-04,2012-08-04,5 points,Alan Gibson,The Satanic Rites of Dracula,1938-04-28
2067,nm0703351,2012-07-27,2012-07-27,5 points,Hans Quest,Tim Frazer,1915-08-20
2068,nm0016234,2012-08-11,2012-08-11,5 points,Miguel Albaladejo,La primera noche de mi vida,1966-08-20
2069,nm0310614,2012-09-01,2012-09-01,5 points,Julie Gavras,La faute à Fidel!,
2070,nm0002848,2012-08-11,2012-08-11,5 points,Stephan Brenninkmeijer,Fleur,1964-06-27
2071,nm0687913,2015-01-14,2015-01-14,5 points,Bruno Podalydès,"Paris, je t'aime",1961-03-11
2072,nm0282549,2015-05-24,2015-05-24,5 points,James Flood,Why Girls Go Back Home,1895-07-31
2073,nm0955297,2015-03-28,2015-03-28,5 points,Aleksandr Zguridi,V peskakh Sredney Azii,1904-02-23
2074,nm0240201,2014-11-11,2014-11-11,5 points,Slatan Dudow,Frauenschicksale,1903-01-30
2075,nm3459006,2016-09-18,2016-09-18,5 points,Lars-Gunnar Lotz,Schuld sind immer die Anderen,1982-01-15
2076,nm0942081,2014-09-07,2014-09-07,5 points,Casper Wrede,Private Potter,1929-02-08
2077,nm1195601,2012-08-12,2012-08-12,5 points,Dusan Milic,Travelator,
2078,nm0233919,2012-08-12,2012-08-12,5 points,Mark Dornford-May,Son of Man,1955-05-29
2079,nm1293403,2013-01-05,2013-01-05,5 points,Rafael Lewandowski,Kret,1969-10-22
2080,nm1110037,2017-10-27,2017-10-27,5 points,Pia Marais,Layla Fourie,
2081,nm0854098,2012-08-18,2012-08-18,5 points,Chico Teixeira,A Casa de Alice,
2082,nm0508626,2012-08-12,2012-08-12,5 points,Torun Lian,Ikke naken,1956-01-15
2083,nm0331339,2012-07-28,2012-07-28,5 points,Peter Gorski,Faust,1921-11-07
2084,nm0881372,2012-08-18,2012-08-18,5 points,Sven Unterwaldt Jr.,7 Zwerge - Der Wald ist nicht genug,1965-04-21
2085,nm4775043,2013-10-05,2013-10-05,5 points,Marten Persiel,This Ain't California,
2086,nm0812150,2016-04-05,2016-04-05,4 points,Mario Soffici,Celos,1900-05-14
2087,nm0605155,2012-07-28,2013-01-27,4 points,Janusz Morgenstern,Jowita,1922-11-16
2088,nm0035529,2016-04-04,2016-04-04,4 points,Jaime de Armiñán,Mi querida señorita,1927-03-09
2089,nm0833708,2015-01-08,2015-01-08,4 points,Jean-Marie Straub,Klassenverhältnisse,1933-01-08
2090,nm0385171,2015-08-26,2015-08-26,4 points,Lambert Hillyer,Guard That Girl,1889-07-08
2091,nm0407067,2012-09-01,2012-09-01,4 points,Álex de la Iglesia,El bar,1965-12-04
2092,nm0344583,2017-05-07,2017-05-07,4 points,Karl Grune,Schlagende Wetter,1890-01-22
2093,nm0123556,2014-09-25,2014-09-25,4 points,David Burton,The Melody Lingers On,1877-05-22
2094,nm0508208,2012-08-26,2012-08-26,4 points,Fernando León de Aranoa,A Perfect Day,1968-05-26
2095,nm0068419,2016-03-20,2016-03-20,4 points,Monta Bell,The Worst Woman in Paris?,1891-02-05
2096,nm0092372,2014-03-07,2014-03-07,4 points,Yves Boisset,Dupont Lajoie,1939-03-14
2097,nm0269993,2012-08-03,2012-08-04,4 points,Eberhard Fechner,Ein Kapitel für sich,1926-10-21
2098,nm0215166,2012-08-05,2012-08-05,4 points,Maciej Dejczer,300 mil do nieba,1953-07-15
2099,nm0000671,2012-12-24,2012-12-24,4 points,Billy Bob Thornton,Sling Blade,1955-08-04
2100,nm1257492,2012-12-24,2012-12-24,4 points,Radu Jude,Cea mai fericita fata din lume,1977-03-28
2101,nm0387828,2015-12-06,2015-12-06,4 points,Christoph Hochhäusler,Dreileben,1972-07-10
2102,nm0702518,2012-12-24,2012-12-24,4 points,Julian Pölsler,Die Wand,
2103,nm0463305,2012-08-04,2012-08-04,4 points,Wolfgang Kohlhaase,Solo Sunny,1931-03-13
2104,nm0001238,2012-07-29,2012-07-29,4 points,Jesús Franco,Der Teufel kam aus Akasava,1930-05-12
2105,nm0509327,2012-07-28,2012-07-28,4 points,Wolfgang Liebeneiner,Ich klage an,1905-10-06
2106,nm0678928,2017-10-01,2017-10-01,4 points,Joseph Pevney,Star Trek,1911-09-15
2107,nm0144677,2016-06-24,2016-06-24,4 points,Renato Castellani,Due soldi di speranza,1913-09-04
2108,nm1375125,2016-03-29,2016-03-29,4 points,Dariusz Gajewski,Warszawa,1964-12-03
2109,nm0399464,2015-03-08,2015-03-08,4 points,Jean-Loup Hubert,Le grand chemin,1949-10-04
2110,nm0737400,2012-08-11,2012-08-11,4 points,Aleksandr Rogozhkin,Blokpost,1949-10-03
2111,nm0936600,2012-08-18,2012-08-18,4 points,Tomasz Wiszniewski,Where Eskimos Live,1958-06-01
2112,nm0504583,2014-10-19,2014-10-19,4 points,Witold Leszczynski,Siekierezada,1933-08-16
2113,nm0503793,2017-11-13,2017-11-13,4 points,Serge Leroy,Le 4ème pouvoir,1937-05-14
2114,nm0898177,2017-03-16,2017-03-16,4 points,Teresa Villaverde,Colo,1966-05-18
2115,nm1313590,2012-08-19,2012-08-19,4 points,Stefan Arsenijevic,Strahinja Banovic,1977-03-11
2116,nm0490950,2017-05-17,2017-05-17,4 points,Frank Launder,The Blue Lagoon,1906-01-28
2117,nm0044016,2012-08-11,2012-08-11,4 points,Tony Ayres,The Home Song Stories,1961-07-16
2118,nm0633080,2015-12-30,2015-12-30,4 points,Doze Niu,Qing fei de yi zhi sheng cun zhi dao,1966-06-22
2119,nm0917158,2012-07-29,2013-01-11,4 points,Dieter Wedel,Der Schattenmann,1942-11-12
2120,nm0200498,2016-05-29,2016-05-29,4 points,Didi Danquart,Viehjud Levi,1955-03-01
2121,nm0169540,2014-09-26,2014-09-26,4 points,Larry Cohen,God Told Me To,1936-07-15
2122,nm0556076,2012-08-12,2012-08-12,4 points,Joachim Masannek,"Die Wilden Kerle: Alles ist gut, solange du wild bist!",
2123,nm0529733,2014-10-09,2014-10-09,4 points,Raoul Lévy,"Je vous salue, mafia!",1922-04-14
2124,nm0065614,2012-07-28,2012-08-04,4 point,Wolfgang Becker,Die Vorstadtkrokodile,1910-05-15
2125,nm0376101,2012-08-04,2012-08-04,4 points,David Hemmings,Blow-Up,1941-11-18
2126,nm0470374,2012-09-01,2012-09-01,4 points,Antoni Krauze,Palec bozy,1940-01-04
2127,nm0457246,2012-08-04,2012-08-04,4 points,Ephraim Kishon,Ha-Shu'al B'Lool Hatarnagalot,1924-08-23
2128,nm0359634,2012-08-11,2012-12-24,4 points,Henk Handloegten,Babylon Berlin,
2129,nm0467145,2012-08-11,2012-08-11,4 points,Arto Koskinen,Kahlekuningas,1962-01-20
2130,nm0082543,2017-01-26,2017-01-26,4 points,Kevin Billington,The Rise and Rise of Michael Rimmer,1934-06-12
2131,nm0433292,2012-07-26,2012-07-26,4 points,Phil Jutzi,Die das Licht scheuen...! Aus dem Tagebuch des Meisterdetektivs Ferry White,1896-07-22
2132,nm0660522,2012-07-29,2012-07-29,4 points,Jaroslav Papousek,Cesta kolem mé hlavy,1929-04-12
2133,nm0003960,2017-01-15,2017-01-15,4 points,Zrinko Ogresta,Crvena prasina,1958-10-05
2134,nm0405578,2012-08-18,2012-08-18,4 points,Marion Hänsel,Between the Devil and the Deep Blue Sea,1949-02-12
2135,nm0073384,2014-01-04,2014-01-04,4 points,Emmanuelle Bercot,Mon roi,1967-11-06
2136,nm0921262,2017-03-18,2017-03-18,4 points,Stina Werenfels,Dora oder Die sexuellen Neurosen unserer Eltern,
2137,nm0256818,2015-07-17,2015-07-17,4 points,Robert Enders,Voices,1919-03-29
2138,nm0807023,2012-08-19,2012-08-19,4 points,Natalia Smirnoff,Rompecabezas,1972-05-14
2139,nm2588618,2017-01-15,2017-01-15,4 points,Alejandro Fernández Almendras,Matar a un Hombre,
2140,nm1954420,2012-08-19,2012-08-19,4 points,Roberto Castón,Ander,
2141,nm0007066,2012-08-26,2012-08-26,4 points,Nanouk Leopold,Boven is het stil,1968-07-25
2142,nm1143060,2013-05-19,2013-05-19,4 points,Maja Weiss,Varuh meje,1965-04-17
2143,nm0344850,2012-07-27,2012-07-28,4 points,Bernhard Grzimek,Kein Platz für wilde Tiere,1909-04-24
2144,nm3814074,2017-01-15,2017-01-15,4 points,Tomasz Wasilewski,Plynace wiezowce,1980-09-26
2145,nm0394409,2013-02-08,2013-02-08,4 points,Jerry Hopper,The Private War of Major Benson,1907-07-29
2146,nm2336638,2012-08-18,2012-08-18,4 points,Rajnesh Domalpalli,Vanaja,
2147,nm0776838,2012-07-27,2012-07-27,4 points,Harold D. Schuster,Wings of the Morning,1902-08-01
2148,nm0799682,2016-04-22,2016-04-22,4 points,Anthony Simmons,Four in the Morning,1922-12-16
2149,nm3217092,2017-01-15,2017-01-15,4 points,Renars Vimba,Es esmu seit,
2150,nm0534226,2016-03-28,2016-03-28,4 points,Kenneth MacPherson,Borderline,1902-03-27
2151,nm1137289,2012-12-24,2012-12-24,3 points,Brillante Mendoza,Alpha: The Right to Kill,1960-07-30
2152,nm0286924,2014-09-13,2014-09-13,3 points,Willi Forst,Bel Ami,1903-04-07
2153,nm0459426,2014-11-15,2014-11-15,3 points,Roland Klick,Supermarkt,1939-07-04
2154,nm0868355,2016-06-04,2016-06-04,3 points,Leopoldo Torre Nilsson,Los siete locos,1924-05-05
2155,nm0951170,2017-06-17,2017-06-17,3 points,Sergei Yutkevich,Velikiy voin Albanii Skanderbeg,1904-09-15
2156,nm0205986,2015-08-25,2015-08-25,3 points,J. Searle Dawley,"Rich Man, Poor Man",1877-05-13
2157,nm0691294,2017-06-17,2017-06-17,3 points,Irina Poplavskaya,Goryanka,1924-12-08
2158,nm0769996,2012-08-04,2012-08-04,3 points,Peter Schamoni,Schonzeit für Füchse,1934-03-27
2159,nm0546686,2017-11-14,2017-11-14,3 points,Nicolae Margineanu,"Binecuvântatã fii, închisoare",1938-09-25
2160,nm0491852,2014-12-21,2014-12-21,3 points,Arnold Laven,The Big Valley,1922-02-23
2161,nm0872274,2012-07-27,2012-07-28,3 points,Georg Tressler,Die Halbstarken,1917-01-25
2162,nm0802445,2012-08-03,2012-08-04,3 points,Bernhard Sinkel,Lina Braake,1940-01-19
2163,nm0194492,2014-06-19,2014-06-19,3 points,Paul Czinner,Escape Me Never,1890-05-30
2164,nm0180191,2014-10-01,2014-10-01,3 points,Henry Cornelius,It Always Rains on Sunday,1913-08-18
2165,nm0916665,2013-04-13,2013-04-13,3 points,Lois Weber,Suspense,1879-06-13
2166,nm0173726,2012-08-12,2012-08-12,3 points,Francesca Comencini,Lo spazio bianco,1961-08-19
2167,nm0336139,2014-07-06,2014-07-06,3 points,Walter Grauman,Blue Light,1922-03-17
2168,nm0937511,2015-10-04,2015-10-04,3 points,Wojciech Wójcik,Tam i z powrotem,1943-01-01
2169,nm0694260,2015-09-05,2015-09-05,3 points,Paul Powell,The Blinding Trail,1881-09-06
2170,nm0552609,2015-09-06,2015-09-06,3 points,Karl Heinz Martin,Von morgens bis mitternachts,1886-05-06
2171,nm0738056,2012-07-28,2012-07-28,3 points,Jürgen Roland,4 Schlüssel,1925-12-25
2172,nm0259554,2012-08-04,2012-08-04,3 points,Rainer Erler,Die Delegation,1933-08-26
2173,nm0936252,2012-07-28,2012-07-28,3 points,Frank Wisbar,"Hunde, wollt ihr ewig leben",1899-12-09
2174,nm0818810,2012-07-29,2012-07-29,3 points,May Spils,Zur Sache Schätzchen,1941-07-29
2175,nm0949648,2015-08-13,2015-08-13,3 points,James Young,On Trial,1872-01-01
2176,nm0005866,2012-08-12,2012-08-12,3 points,Xaver Schwarzenberger,Otto - Der Film,1946-04-21
2177,nm0015784,2012-08-11,2012-08-11,3 points,Züli Aladag,Wut,1968-01-02
2178,nm1346885,2012-08-12,2012-08-12,3 points,Anna Melikyan,Zvezda,1976-02-08
2179,nm0340170,2012-08-04,2012-08-04,3 points,Wolf Gremm,Kamikaze 1989,1942-02-26
2180,nm0994258,2015-06-24,2015-06-24,3 points,Behnam Behzadi,Ghaedeye tasadof,
2181,nm1165751,2013-03-15,2013-03-15,3 points,Marcin Krzysztalowicz,Oblawa,1969-04-19
2182,nm0458757,2016-05-26,2016-05-26,3 points,Gerhard Klein,Berlin um die Ecke,1920-05-01
2183,nm0479721,2013-06-20,2013-06-20,3 points,Philippe Labro,Tout peut arriver,1936-08-27
2184,nm1099979,2012-09-01,2012-09-01,3 points,Jan Schomburg,Über uns das All,1976-03-23
2185,nm0415769,2014-08-02,2014-08-02,3 points,Otto Alexander Jahrreiss,Zoom,1964-02-27
2186,nm1248340,2012-08-19,2012-08-19,3 points,Manijeh Hekmat,Zendan-e zanan,
2187,nm0012337,2012-08-19,2012-08-19,3 points,Alexander Adolph,Tatort,1965-11-10
2188,nm0159367,2012-08-11,2012-08-11,3 points,Denis Chouinard,L'ange de goudron,
2189,nm0483944,2012-07-26,2012-07-26,3 points,Gerhard Lamprecht,Die Unehelichen,1897-10-06
2190,nm0444902,2013-06-28,2013-06-28,3 points,Peter Keglevic,Der Tanz mit dem Teufel - Die Entführung des Richard Oetker,
2191,nm0906114,2012-08-12,2014-01-04,3 points,Stephan Wagner,Tatort,1968-11-15
2192,nm0825596,2013-11-11,2013-11-11,3 points,Paul L. Stein,Blossom Time,1892-02-04
2193,nm0841291,2012-08-12,2012-08-12,3 points,Ognjen Svilicic,Takva su pravila,
2194,nm0888585,2016-06-19,2016-06-19,3 points,Florestano Vancini,Le stagioni del nostro amore,1926-08-24
2195,nm0740853,2013-12-15,2013-12-15,3 points,Michal Rosa,Rysa,1963-09-27
2196,nm1992193,2017-01-15,2017-01-15,3 points,Denis Côté,Curling,1973-11-16
2197,nm3106449,2014-01-04,2014-01-04,3 points,Katarzyna Roslaniec,Bejbi blues,1980-11-23
2198,nm0547713,2012-08-11,2012-08-11,3 points,Dragan Marinkovic,Pijavice,1950-10-28
2199,nm1373326,2013-01-12,2013-01-12,3 points,Krzysztof Lukaszewicz,Orleta,1976-02-29
2200,nm0952667,2013-03-01,2013-03-01,3 points,Jaroslaw Zamojda,Mlode wilki,1960-04-17
2201,nm0396933,2012-08-12,2012-08-12,3 points,Ineke Houtman,Polleke,
2202,nm1465130,2012-08-26,2012-08-26,3 points,Safy Nebbou,Le cou de la girafe,1968-04-27
2203,nm0061220,2015-07-04,2015-07-04,3 points,Jan Batory,Odwiedziny prezydenta,1921-08-23
2204,nm0707184,2012-08-12,2012-08-12,3 points,Aage Rais-Nordentoft,Sprækker,1969-03-31
2205,nm0603543,2012-08-12,2012-08-12,3 points,Roberto Moreira,Contra Todos,
2206,nm0157185,2012-08-26,2012-08-26,3 points,Bruno Chiche,Le pinceau à lèvres,1966-08-07
2207,nm0005610,2012-08-05,2012-08-05,3 points,James Steven Sadwith,Coming Through the Rye,1952-10-20
2208,nm0166730,2014-12-12,2014-12-12,3 points,Elmer Clifton,The Secret of Treasure Island,1890-03-14
2209,nm1519289,2016-12-02,2016-12-02,3 points,Sonja Heiss,Hotel Very Welcome,
2210,nm0062257,2012-08-18,2012-08-18,3 points,Ulli Baumann,Herzog,1962-08-08
2211,nm0994459,2017-01-15,2017-01-15,3 points,Chao Yang,Chang jiang tu,
2212,nm0934629,2012-08-11,2012-08-18,3 points,Henner Winckler,Klassenfahrt,1969-07-08
2213,nm0644038,2014-02-28,2014-02-28,3 points,Urs Odermatt,Wachtmeister Zumbühl,1955-02-28
2214,nm0102908,2012-07-26,2012-07-26,3 points,Robert N. Bradbury,The Star Packer,1886-03-23
2215,nm0311381,2012-07-29,2012-07-29,3 points,Steve Gebhardt,Ten for Two: The John Sinclair Freedom Rally,1937-01-06
2216,nm0729086,2012-12-24,2012-12-24,3 points,Marialy Rivas,Joven y Alocada,
2217,nm0485859,2013-02-03,2013-02-03,3 points,Michel Lang,Tous vedettes!,1939-06-09
2218,nm0257288,2013-02-02,2013-02-02,3 points,Erich Engels,Das himmelblaue Abendkleid,1889-05-23
2219,nm3070908,2016-07-16,2016-07-16,3 points,Kinga Debska,Moje córki krowy,1969-09-04
2220,nm0434699,2016-05-27,2016-05-27,3 points,Peter Kahane,Die Architekten,1949-05-30
2221,nm1931662,2015-12-30,2015-12-30,3 points,Mathieu Denis,Ceux qui font les révolutions à moitié n'ont fait que se creuser un tombeau,
2222,nm0024015,2012-08-18,2012-08-18,3 points,Tata Amaral,Antônia,
2223,nm0351486,2012-08-04,2012-08-04,3 points,Sigi Rothemund,Piratensender Power Play,1944-03-14
2224,nm0878957,2012-08-18,2012-08-18,3 points,Stanislaw Tym,Rozmowy kontrolowane,1937-07-17
2225,nm1007136,2014-02-07,2014-02-07,3 points,Valeska Grisebach,Western,1968-01-04
2226,nm0770018,2014-04-25,2014-04-25,3 points,Angela Schanelec,"Ich war zuhause, aber",1962-02-14
2227,nm0830249,2015-09-02,2015-09-02,2 points,Mauritz Stiller,Erotikon,1883-07-17
2228,nm0321159,2012-08-19,2012-08-19,2 points,Amos Gitai,Rabin: The Last Day,1950-10-11
2229,nm0775573,2014-12-27,2014-12-27,2 points,Werner Schroeter,Nel regno di Napoli,1945-04-07
2230,nm0535512,2012-07-28,2012-07-28,2 points,Kurt Maetzig,Das Kaninchen bin ich,1911-01-25
2231,nm0753873,2016-12-03,2016-12-03,2 points,Stanislaw Rózewicz,Kobieta w kapeluszu,1924-08-16
2232,nm0416049,2015-06-22,2015-06-22,2 points,Wanda Jakubowska,Ostatni etap,1907-10-10
2233,nm0432031,2017-01-24,2017-01-24,2 points,Rudolf Jugert,Nachts auf den Straßen,1907-09-30
2234,nm0021392,2016-09-20,2016-09-20,2 points,René Allio,La vieille dame indigne,1924-03-08
2235,nm0351586,2016-01-31,2016-01-31,2 points,Egon Günther,"Wenn du groß bist, lieber Adam",1927-03-30
2236,nm0850024,2016-06-28,2016-12-03,2 points,Nyrki Tapiovaara,Herra Lahtinen lähtee lipettiin,1911-09-10
2237,nm0671984,2014-01-01,2014-01-01,2 points,Leo Penn,Ben Casey,1921-08-27
2238,nm0676199,2013-01-27,2013-01-27,2 points,Czeslaw Petelski,Czarne skrzydla,1922-11-05
2239,nm0408153,2012-12-16,2012-12-16,2 points,Markus Imboden,Ausgerechnet Zoé,1955-10-17
2240,nm0079748,2017-01-31,2017-01-31,2 points,Alberto Bevilacqua,Questa specie d'amore,1934-06-27
2241,nm0001811,2013-03-24,2013-03-24,2 points,Peter Ustinov,Death on the Nile,1921-04-16
2242,nm0532030,2015-09-18,2015-09-18,2 points,Ranald MacDougall,Mildred Pierce,1915-03-10
2243,nm0442455,2012-08-12,2012-08-12,2 points,Mika Kaurismäki,Kolme viisasta miestä,1955-09-21
2244,nm0857941,2013-04-12,2013-04-12,2 points,Rolf Thiele,Das Mädchen Rosemarie,1918-03-07
2245,nm0007973,2013-01-06,2013-01-06,2 points,George Abbott,The Pajama Game,1887-06-25
2246,nm0146960,2012-08-04,2012-08-04,2 points,Liliana Cavani,L'ospite,1933-01-12
2247,nm1720536,2015-09-10,2015-09-10,2 points,Robert Reinert,Der Herr der Welt,1872-04-22
2248,nm0879802,2012-07-27,2012-07-28,2 points,Gustav Ucicky,Der Postmeister,1898-07-06
2249,nm0778338,2012-08-06,2012-08-11,2 points,Jan Schütte,Drachenfutter,1957-06-26
2250,nm0574217,2012-08-11,2012-08-11,2 points,Conor McPherson,The Eclipse,1971-08-06
2251,nm0048060,2012-08-05,2012-08-11,2 points,Filip Bajon,Aria dla atlety,1947-08-25
2252,nm0143900,2017-05-16,2017-05-16,2 points,Henry Cass,Mr. Brown Comes Down the Hill,1903-06-24
2253,nm0104146,2014-07-18,2014-07-18,2 points,Jacques Bral,Polar,1948-09-21
2254,nm0201949,2012-08-11,2012-08-11,2 points,Buddhadev Dasgupta,Uttara,1944-02-11
2255,nm0387002,2014-07-27,2014-07-27,2 points,Jack Hively,They Made Her a Spy,1910-09-05
2256,nm0127015,2012-08-18,2012-08-18,2 points,Bernd Böhlich,Du bist nicht allein,1957-04-25
2257,nm0937501,2012-08-12,2012-08-26,2 points,Przemyslaw Wojcieszek,W dól kolorowym wzgórzem,1974-03-18
2258,nm0438680,2012-07-28,2012-07-28,2 points,Kazimierz Karabasz,Rok Franka W.,1930-05-06
2259,nm0863633,2012-08-04,2012-08-05,2 points,Peter Timm,Meier,1950-09-28
2260,nm0488108,2013-01-04,2013-01-04,2 points,Brian Large,Tosca: In the Settings and at the Times of Tosca,1939-02-16
2261,nm0657722,2012-08-12,2012-08-12,2 points,Kari Paljakka,Eläville ja kuolleille,1958-07-03
2262,nm0640913,2013-07-13,2013-07-13,2 points,Damien Odoul,Le souffle,1968-03-15
2263,nm0334488,2012-08-06,2012-08-06,2 points,Sébastien Grall,Les Milles,1954-03-20
2264,nm0317411,2012-08-04,2012-08-04,2 points,Hajo Gies,Tatort,1945-03-16
2265,nm0467722,2012-08-11,2012-08-11,2 points,Teresa Kotlarczyk,Zaklad,1955-10-10
2266,nm0429774,2012-08-18,2012-08-18,2 points,Vanessa Jopp,Vergiss Amerika,1971-02-28
2267,nm1455321,2012-08-18,2012-08-18,2 points,Birgit Möller,Valerie,1972-07-04
